,reporttime,name,code,SW3,type,value(M)
39,20221231,申达股份,600626,车身附件及饰件,销售额,95
40,20230131,申达股份,600626,车身附件及饰件,销售额,53
41,20230228,申达股份,600626,车身附件及饰件,销售额,35
42,20230331,申达股份,600626,车身附件及饰件,销售额,32
43,20230430,申达股份,600626,车身附件及饰件,销售额,26
44,20230531,申达股份,600626,车身附件及饰件,销售额,23
45,20230630,申达股份,600626,车身附件及饰件,销售额,40
46,20230731,申达股份,600626,车身附件及饰件,销售额,25
47,20230831,申达股份,600626,车身附件及饰件,销售额,24
48,20230930,申达股份,600626,车身附件及饰件,销售额,33
49,20230731,申达股份,600626,车身附件及饰件,销售额,25
54,20200131,古井贡酒,000596,白酒,销售额,68
55,20200229,古井贡酒,000596,白酒,销售额,6
56,20200331,古井贡酒,000596,白酒,销售额,9
57,20200430,古井贡酒,000596,白酒,销售额,13
58,20200531,古井贡酒,000596,白酒,销售额,13
59,20200630,古井贡酒,000596,白酒,销售额,27
60,20200731,古井贡酒,000596,白酒,销售额,10
61,20200831,古井贡酒,000596,白酒,销售额,13
62,20200930,古井贡酒,000596,白酒,销售额,39
63,20201031,古井贡酒,000596,白酒,销售额,19
64,20201130,古井贡酒,000596,白酒,销售额,49
65,20201231,古井贡酒,000596,白酒,销售额,30
66,20210131,古井贡酒,000596,白酒,销售额,82
67,20210228,古井贡酒,000596,白酒,销售额,59
68,20210331,古井贡酒,000596,白酒,销售额,23
69,20210430,古井贡酒,000596,白酒,销售额,19
70,20210531,古井贡酒,000596,白酒,销售额,17
71,20210630,古井贡酒,000596,白酒,销售额,29
72,20210731,古井贡酒,000596,白酒,销售额,14
73,20210831,古井贡酒,000596,白酒,销售额,13
74,20210930,古井贡酒,000596,白酒,销售额,42
75,20211031,古井贡酒,000596,白酒,销售额,16
76,20211130,古井贡酒,000596,白酒,销售额,47
77,20211231,古井贡酒,000596,白酒,销售额,30
78,20220131,古井贡酒,000596,白酒,销售额,109
79,20220228,古井贡酒,000596,白酒,销售额,28
80,20220331,古井贡酒,000596,白酒,销售额,13
81,20220430,古井贡酒,000596,白酒,销售额,8
82,20220531,古井贡酒,000596,白酒,销售额,14
83,20220630,古井贡酒,000596,白酒,销售额,29
84,20220731,古井贡酒,000596,白酒,销售额,11
85,20220831,古井贡酒,000596,白酒,销售额,21
86,20220930,古井贡酒,000596,白酒,销售额,42
87,20221031,古井贡酒,000596,白酒,销售额,17
88,20221130,古井贡酒,000596,白酒,销售额,42
89,20221231,古井贡酒,000596,白酒,销售额,43
90,20230131,古井贡酒,000596,白酒,销售额,103
91,20230228,古井贡酒,000596,白酒,销售额,25
92,20230331,古井贡酒,000596,白酒,销售额,18
93,20230430,古井贡酒,000596,白酒,销售额,18
94,20230531,古井贡酒,000596,白酒,销售额,20
95,20230630,古井贡酒,000596,白酒,销售额,42
96,20230731,古井贡酒,000596,白酒,销售额,13
97,20230831,古井贡酒,000596,白酒,销售额,17
98,20230930,古井贡酒,000596,白酒,销售额,53
99,20230731,古井贡酒,000596,白酒,销售额,13
104,20200131,茶花股份,603615,其他家居用品,销售额,27
105,20200229,茶花股份,603615,其他家居用品,销售额,23
106,20200331,茶花股份,603615,其他家居用品,销售额,42
107,20200430,茶花股份,603615,其他家居用品,销售额,37
108,20200531,茶花股份,603615,其他家居用品,销售额,38
109,20200630,茶花股份,603615,其他家居用品,销售额,39
110,20200731,茶花股份,603615,其他家居用品,销售额,36
111,20200831,茶花股份,603615,其他家居用品,销售额,41
112,20200930,茶花股份,603615,其他家居用品,销售额,44
113,20201031,茶花股份,603615,其他家居用品,销售额,37
114,20201130,茶花股份,603615,其他家居用品,销售额,53
115,20201231,茶花股份,603615,其他家居用品,销售额,35
116,20210131,茶花股份,603615,其他家居用品,销售额,35
117,20210228,茶花股份,603615,其他家居用品,销售额,27
118,20210331,茶花股份,603615,其他家居用品,销售额,40
119,20210430,茶花股份,603615,其他家居用品,销售额,30
120,20210531,茶花股份,603615,其他家居用品,销售额,35
121,20210630,茶花股份,603615,其他家居用品,销售额,43
122,20210731,茶花股份,603615,其他家居用品,销售额,32
123,20210831,茶花股份,603615,其他家居用品,销售额,36
124,20210930,茶花股份,603615,其他家居用品,销售额,37
125,20211031,茶花股份,603615,其他家居用品,销售额,35
126,20211130,茶花股份,603615,其他家居用品,销售额,46
127,20211231,茶花股份,603615,其他家居用品,销售额,34
128,20220131,茶花股份,603615,其他家居用品,销售额,34
129,20220228,茶花股份,603615,其他家居用品,销售额,26
130,20220331,茶花股份,603615,其他家居用品,销售额,30
131,20220430,茶花股份,603615,其他家居用品,销售额,28
132,20220531,茶花股份,603615,其他家居用品,销售额,31
133,20220630,茶花股份,603615,其他家居用品,销售额,42
134,20220731,茶花股份,603615,其他家居用品,销售额,34
135,20220831,茶花股份,603615,其他家居用品,销售额,39
136,20220930,茶花股份,603615,其他家居用品,销售额,42
137,20221031,茶花股份,603615,其他家居用品,销售额,39
138,20221130,茶花股份,603615,其他家居用品,销售额,47
139,20221231,茶花股份,603615,其他家居用品,销售额,39
140,20230131,茶花股份,603615,其他家居用品,销售额,29
141,20230228,茶花股份,603615,其他家居用品,销售额,33
142,20230331,茶花股份,603615,其他家居用品,销售额,35
143,20230430,茶花股份,603615,其他家居用品,销售额,33
144,20230531,茶花股份,603615,其他家居用品,销售额,26
145,20230630,茶花股份,603615,其他家居用品,销售额,37
146,20230731,茶花股份,603615,其他家居用品,销售额,28
147,20230831,茶花股份,603615,其他家居用品,销售额,36
148,20230930,茶花股份,603615,其他家居用品,销售额,34
149,20230731,茶花股份,603615,其他家居用品,销售额,28
154,20200131,南极电商,002127,电商服务,销售额,1644
155,20200229,南极电商,002127,电商服务,销售额,872
156,20200331,南极电商,002127,电商服务,销售额,1734
157,20200430,南极电商,002127,电商服务,销售额,2211
158,20200531,南极电商,002127,电商服务,销售额,2666
159,20200630,南极电商,002127,电商服务,销售额,2416
160,20200731,南极电商,002127,电商服务,销售额,2692
161,20200831,南极电商,002127,电商服务,销售额,2416
162,20200930,南极电商,002127,电商服务,销售额,2766
163,20201031,南极电商,002127,电商服务,销售额,3573
164,20201130,南极电商,002127,电商服务,销售额,4268
165,20201231,南极电商,002127,电商服务,销售额,4324
166,20210131,南极电商,002127,电商服务,销售额,2802
167,20210228,南极电商,002127,电商服务,销售额,1401
168,20210331,南极电商,002127,电商服务,销售额,2185
169,20210430,南极电商,002127,电商服务,销售额,1840
170,20210531,南极电商,002127,电商服务,销售额,2027
171,20210630,南极电商,002127,电商服务,销售额,1944
172,20210731,南极电商,002127,电商服务,销售额,1565
173,20210831,南极电商,002127,电商服务,销售额,1572
174,20210930,南极电商,002127,电商服务,销售额,1722
175,20211031,南极电商,002127,电商服务,销售额,2876
176,20211130,南极电商,002127,电商服务,销售额,3304
177,20211231,南极电商,002127,电商服务,销售额,2305
178,20220131,南极电商,002127,电商服务,销售额,1900
179,20220228,南极电商,002127,电商服务,销售额,1196
180,20220331,南极电商,002127,电商服务,销售额,1426
181,20220430,南极电商,002127,电商服务,销售额,1166
182,20220531,南极电商,002127,电商服务,销售额,1308
183,20220630,南极电商,002127,电商服务,销售额,1606
184,20220731,南极电商,002127,电商服务,销售额,1280
185,20220831,南极电商,002127,电商服务,销售额,1248
186,20220930,南极电商,002127,电商服务,销售额,1388
187,20221031,南极电商,002127,电商服务,销售额,1837
188,20221130,南极电商,002127,电商服务,销售额,1843
189,20221231,南极电商,002127,电商服务,销售额,2124
190,20230131,南极电商,002127,电商服务,销售额,1131
191,20230228,南极电商,002127,电商服务,销售额,1006
192,20230331,南极电商,002127,电商服务,销售额,991
193,20230430,南极电商,002127,电商服务,销售额,1041
194,20230531,南极电商,002127,电商服务,销售额,982
195,20230630,南极电商,002127,电商服务,销售额,1136
196,20230731,南极电商,002127,电商服务,销售额,920
197,20230831,南极电商,002127,电商服务,销售额,884
198,20230930,南极电商,002127,电商服务,销售额,1156
199,20230731,南极电商,002127,电商服务,销售额,920
200,20200731,光峰科技,688007,品牌消费电子,销售额,16
201,20221031,光峰科技,688007,品牌消费电子,销售额,66
203,20201130,光峰科技,688007,品牌消费电子,销售额,93
204,20220630,光峰科技,688007,品牌消费电子,销售额,164
205,20201031,光峰科技,688007,品牌消费电子,销售额,32
206,20210131,光峰科技,688007,品牌消费电子,销售额,41
207,20211031,光峰科技,688007,品牌消费电子,销售额,60
208,20200930,光峰科技,688007,品牌消费电子,销售额,20
209,20220930,光峰科技,688007,品牌消费电子,销售额,91
210,20210731,光峰科技,688007,品牌消费电子,销售额,32
211,20210831,光峰科技,688007,品牌消费电子,销售额,37
212,20220731,光峰科技,688007,品牌消费电子,销售额,104
214,20210930,光峰科技,688007,品牌消费电子,销售额,50
215,20220531,光峰科技,688007,品牌消费电子,销售额,71
216,20220131,光峰科技,688007,品牌消费电子,销售额,60
217,20200430,光峰科技,688007,品牌消费电子,销售额,20
218,20200531,光峰科技,688007,品牌消费电子,销售额,34
219,20201231,光峰科技,688007,品牌消费电子,销售额,52
221,20200831,光峰科技,688007,品牌消费电子,销售额,20
222,20210531,光峰科技,688007,品牌消费电子,销售额,33
223,20200331,光峰科技,688007,品牌消费电子,销售额,25
224,20210430,光峰科技,688007,品牌消费电子,销售额,37
225,20220228,光峰科技,688007,品牌消费电子,销售额,42
226,20210228,光峰科技,688007,品牌消费电子,销售额,33
227,20211130,光峰科技,688007,品牌消费电子,销售额,194
228,20220430,光峰科技,688007,品牌消费电子,销售额,57
229,20200131,光峰科技,688007,品牌消费电子,销售额,23
230,20200229,光峰科技,688007,品牌消费电子,销售额,24
231,20220331,光峰科技,688007,品牌消费电子,销售额,61
233,20200630,光峰科技,688007,品牌消费电子,销售额,22
234,20210630,光峰科技,688007,品牌消费电子,销售额,78
235,20211231,光峰科技,688007,品牌消费电子,销售额,73
236,20210331,光峰科技,688007,品牌消费电子,销售额,35
237,20220831,光峰科技,688007,品牌消费电子,销售额,93
238,20221130,光峰科技,688007,品牌消费电子,销售额,156
239,20221231,光峰科技,688007,品牌消费电子,销售额,58
240,20230131,光峰科技,688007,品牌消费电子,销售额,36
241,20230228,光峰科技,688007,品牌消费电子,销售额,71
242,20230331,光峰科技,688007,品牌消费电子,销售额,62
243,20230430,光峰科技,688007,品牌消费电子,销售额,61
244,20230531,光峰科技,688007,品牌消费电子,销售额,65
245,20230630,光峰科技,688007,品牌消费电子,销售额,80
246,20230731,光峰科技,688007,品牌消费电子,销售额,31
247,20230831,光峰科技,688007,品牌消费电子,销售额,33
248,20230930,光峰科技,688007,品牌消费电子,销售额,35
249,20230731,光峰科技,688007,品牌消费电子,销售额,31
250,20210131,盐津铺子,002847,零食,销售额,13
251,20211031,盐津铺子,002847,零食,销售额,11
252,20220930,盐津铺子,002847,零食,销售额,26
254,20200831,盐津铺子,002847,零食,销售额,16
255,20200930,盐津铺子,002847,零食,销售额,6
256,20210930,盐津铺子,002847,零食,销售额,10
257,20211231,盐津铺子,002847,零食,销售额,13
258,20220531,盐津铺子,002847,零食,销售额,18
259,20210331,盐津铺子,002847,零食,销售额,4
260,20220731,盐津铺子,002847,零食,销售额,22
261,20210228,盐津铺子,002847,零食,销售额,3
262,20210531,盐津铺子,002847,零食,销售额,5
264,20200630,盐津铺子,002847,零食,销售额,15
265,20210430,盐津铺子,002847,零食,销售额,5
266,20201231,盐津铺子,002847,零食,销售额,8
267,20220630,盐津铺子,002847,零食,销售额,22
268,20200531,盐津铺子,002847,零食,销售额,12
269,20210831,盐津铺子,002847,零食,销售额,11
270,20220831,盐津铺子,002847,零食,销售额,22
271,20201031,盐津铺子,002847,零食,销售额,13
272,20211130,盐津铺子,002847,零食,销售额,16
273,20200731,盐津铺子,002847,零食,销售额,10
274,20221031,盐津铺子,002847,零食,销售额,26
275,20201130,盐津铺子,002847,零食,销售额,11
276,20220430,盐津铺子,002847,零食,销售额,16
277,20210731,盐津铺子,002847,零食,销售额,10
279,20200131,盐津铺子,002847,零食,销售额,15
280,20220331,盐津铺子,002847,零食,销售额,13
281,20200430,盐津铺子,002847,零食,销售额,16
282,20220228,盐津铺子,002847,零食,销售额,8
283,20200331,盐津铺子,002847,零食,销售额,18
284,20210630,盐津铺子,002847,零食,销售额,7
286,20200229,盐津铺子,002847,零食,销售额,5
287,20220131,盐津铺子,002847,零食,销售额,20
288,20221130,盐津铺子,002847,零食,销售额,34
289,20221231,盐津铺子,002847,零食,销售额,27
290,20230131,盐津铺子,002847,零食,销售额,27
291,20230228,盐津铺子,002847,零食,销售额,22
292,20230331,盐津铺子,002847,零食,销售额,30
293,20230430,盐津铺子,002847,零食,销售额,30
294,20230531,盐津铺子,002847,零食,销售额,28
295,20230630,盐津铺子,002847,零食,销售额,34
296,20230731,盐津铺子,002847,零食,销售额,33
297,20230831,盐津铺子,002847,零食,销售额,32
298,20230930,盐津铺子,002847,零食,销售额,35
299,20230731,盐津铺子,002847,零食,销售额,33
300,20210430,丸美股份,603983,品牌化妆品,销售额,59
301,20221031,丸美股份,603983,品牌化妆品,销售额,70
302,20200430,丸美股份,603983,品牌化妆品,销售额,100
304,20200630,丸美股份,603983,品牌化妆品,销售额,138
305,20210930,丸美股份,603983,品牌化妆品,销售额,82
306,20210630,丸美股份,603983,品牌化妆品,销售额,105
308,20220731,丸美股份,603983,品牌化妆品,销售额,48
309,20200930,丸美股份,603983,品牌化妆品,销售额,67
310,20220531,丸美股份,603983,品牌化妆品,销售额,59
311,20200831,丸美股份,603983,品牌化妆品,销售额,63
312,20201130,丸美股份,603983,品牌化妆品,销售额,243
313,20220930,丸美股份,603983,品牌化妆品,销售额,97
314,20210131,丸美股份,603983,品牌化妆品,销售额,77
315,20211031,丸美股份,603983,品牌化妆品,销售额,68
316,20211130,丸美股份,603983,品牌化妆品,销售额,177
317,20220331,丸美股份,603983,品牌化妆品,销售额,88
318,20201231,丸美股份,603983,品牌化妆品,销售额,78
319,20201031,丸美股份,603983,品牌化妆品,销售额,76
320,20220430,丸美股份,603983,品牌化妆品,销售额,49
322,20220131,丸美股份,603983,品牌化妆品,销售额,75
323,20200731,丸美股份,603983,品牌化妆品,销售额,54
324,20220630,丸美股份,603983,品牌化妆品,销售额,114
325,20210531,丸美股份,603983,品牌化妆品,销售额,78
326,20210831,丸美股份,603983,品牌化妆品,销售额,91
327,20210731,丸美股份,603983,品牌化妆品,销售额,58
328,20211231,丸美股份,603983,品牌化妆品,销售额,69
330,20200331,丸美股份,603983,品牌化妆品,销售额,112
331,20210228,丸美股份,603983,品牌化妆品,销售额,68
332,20200531,丸美股份,603983,品牌化妆品,销售额,97
333,20210331,丸美股份,603983,品牌化妆品,销售额,93
334,20220228,丸美股份,603983,品牌化妆品,销售额,63
335,20220831,丸美股份,603983,品牌化妆品,销售额,56
336,20200131,丸美股份,603983,品牌化妆品,销售额,85
337,20200229,丸美股份,603983,品牌化妆品,销售额,72
338,20221130,丸美股份,603983,品牌化妆品,销售额,197
339,20221231,丸美股份,603983,品牌化妆品,销售额,74
340,20230131,丸美股份,603983,品牌化妆品,销售额,63
341,20230228,丸美股份,603983,品牌化妆品,销售额,92
342,20230331,丸美股份,603983,品牌化妆品,销售额,104
343,20230430,丸美股份,603983,品牌化妆品,销售额,72
344,20230531,丸美股份,603983,品牌化妆品,销售额,85
345,20230630,丸美股份,603983,品牌化妆品,销售额,157
346,20230731,丸美股份,603983,品牌化妆品,销售额,58
347,20230831,丸美股份,603983,品牌化妆品,销售额,74
348,20230930,丸美股份,603983,品牌化妆品,销售额,67
349,20230731,丸美股份,603983,品牌化妆品,销售额,58
350,20220430,漫步者,002351,品牌消费电子,销售额,190
352,20220630,漫步者,002351,品牌消费电子,销售额,256
353,20200930,漫步者,002351,品牌消费电子,销售额,190
354,20211231,漫步者,002351,品牌消费电子,销售额,214
355,20220131,漫步者,002351,品牌消费电子,销售额,202
356,20200430,漫步者,002351,品牌消费电子,销售额,136
357,20201130,漫步者,002351,品牌消费电子,销售额,305
358,20210131,漫步者,002351,品牌消费电子,销售额,193
359,20211031,漫步者,002351,品牌消费电子,销售额,207
360,20200831,漫步者,002351,品牌消费电子,销售额,186
361,20220930,漫步者,002351,品牌消费电子,销售额,212
362,20210228,漫步者,002351,品牌消费电子,销售额,181
363,20210430,漫步者,002351,品牌消费电子,销售额,194
364,20211130,漫步者,002351,品牌消费电子,销售额,309
366,20220731,漫步者,002351,品牌消费电子,销售额,178
367,20200331,漫步者,002351,品牌消费电子,销售额,155
368,20210630,漫步者,002351,品牌消费电子,销售额,258
369,20200131,漫步者,002351,品牌消费电子,销售额,119
370,20200229,漫步者,002351,品牌消费电子,销售额,102
371,20200531,漫步者,002351,品牌消费电子,销售额,135
372,20220831,漫步者,002351,品牌消费电子,销售额,196
373,20220531,漫步者,002351,品牌消费电子,销售额,187
374,20210831,漫步者,002351,品牌消费电子,销售额,214
375,20220331,漫步者,002351,品牌消费电子,销售额,214
376,20201031,漫步者,002351,品牌消费电子,销售额,176
378,20200630,漫步者,002351,品牌消费电子,销售额,217
379,20210531,漫步者,002351,品牌消费电子,销售额,191
380,20200731,漫步者,002351,品牌消费电子,销售额,159
381,20201231,漫步者,002351,品牌消费电子,销售额,204
382,20210331,漫步者,002351,品牌消费电子,销售额,252
383,20210930,漫步者,002351,品牌消费电子,销售额,210
385,20210731,漫步者,002351,品牌消费电子,销售额,223
386,20220228,漫步者,002351,品牌消费电子,销售额,202
387,20221031,漫步者,002351,品牌消费电子,销售额,205
388,20221130,漫步者,002351,品牌消费电子,销售额,317
389,20221231,漫步者,002351,品牌消费电子,销售额,181
390,20230131,漫步者,002351,品牌消费电子,销售额,148
391,20230228,漫步者,002351,品牌消费电子,销售额,230
392,20230331,漫步者,002351,品牌消费电子,销售额,243
393,20230430,漫步者,002351,品牌消费电子,销售额,202
394,20230531,漫步者,002351,品牌消费电子,销售额,175
395,20230630,漫步者,002351,品牌消费电子,销售额,306
396,20230731,漫步者,002351,品牌消费电子,销售额,166
397,20230831,漫步者,002351,品牌消费电子,销售额,201
398,20230930,漫步者,002351,品牌消费电子,销售额,212
399,20230731,漫步者,002351,品牌消费电子,销售额,166
400,20200930,洽洽食品,002557,零食,销售额,71
401,20211231,洽洽食品,002557,零食,销售额,72
402,20210531,洽洽食品,002557,零食,销售额,39
403,20220831,洽洽食品,002557,零食,销售额,48
404,20201231,洽洽食品,002557,零食,销售额,61
405,20210131,洽洽食品,002557,零食,销售额,142
406,20211031,洽洽食品,002557,零食,销售额,55
407,20220630,洽洽食品,002557,零食,销售额,47
409,20200630,洽洽食品,002557,零食,销售额,55
410,20201031,洽洽食品,002557,零食,销售额,52
411,20210930,洽洽食品,002557,零食,销售额,49
412,20220430,洽洽食品,002557,零食,销售额,37
413,20200430,洽洽食品,002557,零食,销售额,57
414,20200531,洽洽食品,002557,零食,销售额,49
415,20220930,洽洽食品,002557,零食,销售额,61
416,20220131,洽洽食品,002557,零食,销售额,168
417,20210731,洽洽食品,002557,零食,销售额,39
418,20210831,洽洽食品,002557,零食,销售额,44
419,20220228,洽洽食品,002557,零食,销售额,41
420,20221031,洽洽食品,002557,零食,销售额,68
421,20200731,洽洽食品,002557,零食,销售额,43
422,20201130,洽洽食品,002557,零食,销售额,70
423,20210331,洽洽食品,002557,零食,销售额,38
424,20210228,洽洽食品,002557,零食,销售额,60
426,20200331,洽洽食品,002557,零食,销售额,56
428,20210430,洽洽食品,002557,零食,销售额,36
429,20220731,洽洽食品,002557,零食,销售额,35
430,20210630,洽洽食品,002557,零食,销售额,43
431,20211130,洽洽食品,002557,零食,销售额,99
432,20220331,洽洽食品,002557,零食,销售额,37
434,20200831,洽洽食品,002557,零食,销售额,50
435,20220531,洽洽食品,002557,零食,销售额,44
436,20200131,洽洽食品,002557,零食,销售额,145
437,20200229,洽洽食品,002557,零食,销售额,44
438,20221130,洽洽食品,002557,零食,销售额,96
439,20221231,洽洽食品,002557,零食,销售额,107
440,20230131,洽洽食品,002557,零食,销售额,141
441,20230228,洽洽食品,002557,零食,销售额,40
442,20230331,洽洽食品,002557,零食,销售额,41
443,20230430,洽洽食品,002557,零食,销售额,46
444,20230531,洽洽食品,002557,零食,销售额,38
445,20230630,洽洽食品,002557,零食,销售额,56
446,20230731,洽洽食品,002557,零食,销售额,43
447,20230831,洽洽食品,002557,零食,销售额,43
448,20230930,洽洽食品,002557,零食,销售额,53
449,20230731,洽洽食品,002557,零食,销售额,43
450,20210331,中粮资本,002423,金融控股,销售额,183
451,20200430,中粮资本,002423,金融控股,销售额,220
452,20200131,中粮资本,002423,金融控股,销售额,336
453,20200229,中粮资本,002423,金融控股,销售额,151
454,20211130,中粮资本,002423,金融控股,销售额,526
455,20200731,中粮资本,002423,金融控股,销售额,143
456,20210430,中粮资本,002423,金融控股,销售额,175
457,20211231,中粮资本,002423,金融控股,销售额,259
458,20210731,中粮资本,002423,金融控股,销售额,167
459,20210831,中粮资本,002423,金融控股,销售额,181
461,20220930,中粮资本,002423,金融控股,销售额,233
462,20220131,中粮资本,002423,金融控股,销售额,418
464,20201231,中粮资本,002423,金融控股,销售额,259
465,20220228,中粮资本,002423,金融控股,销售额,153
466,20221031,中粮资本,002423,金融控股,销售额,252
468,20200630,中粮资本,002423,金融控股,销售额,313
469,20210930,中粮资本,002423,金融控股,销售额,259
470,20210531,中粮资本,002423,金融控股,销售额,175
472,20220630,中粮资本,002423,金融控股,销售额,347
473,20220831,中粮资本,002423,金融控股,销售额,178
474,20210630,中粮资本,002423,金融控股,销售额,296
475,20220331,中粮资本,002423,金融控股,销售额,171
476,20210228,中粮资本,002423,金融控股,销售额,224
477,20200531,中粮资本,002423,金融控股,销售额,154
478,20220430,中粮资本,002423,金融控股,销售额,180
479,20200331,中粮资本,002423,金融控股,销售额,213
480,20200930,中粮资本,002423,金融控股,销售额,274
481,20201031,中粮资本,002423,金融控股,销售额,227
482,20210131,中粮资本,002423,金融控股,销售额,394
483,20211031,中粮资本,002423,金融控股,销售额,233
484,20200831,中粮资本,002423,金融控股,销售额,169
485,20220531,中粮资本,002423,金融控股,销售额,214
486,20220731,中粮资本,002423,金融控股,销售额,134
487,20201130,中粮资本,002423,金融控股,销售额,474
488,20221130,中粮资本,002423,金融控股,销售额,456
489,20221231,中粮资本,002423,金融控股,销售额,273
490,20230131,中粮资本,002423,金融控股,销售额,256
491,20230228,中粮资本,002423,金融控股,销售额,169
492,20230331,中粮资本,002423,金融控股,销售额,161
493,20230430,中粮资本,002423,金融控股,销售额,128
494,20230531,中粮资本,002423,金融控股,销售额,147
495,20230630,中粮资本,002423,金融控股,销售额,274
496,20230731,中粮资本,002423,金融控股,销售额,147
497,20230831,中粮资本,002423,金融控股,销售额,173
498,20230930,中粮资本,002423,金融控股,销售额,232
499,20230731,中粮资本,002423,金融控股,销售额,147
501,20200630,探路者,300005,运动服装,销售额,51
502,20210131,探路者,300005,运动服装,销售额,45
503,20210930,探路者,300005,运动服装,销售额,27
504,20211130,探路者,300005,运动服装,销售额,144
505,20220331,探路者,300005,运动服装,销售额,33
506,20200430,探路者,300005,运动服装,销售额,26
507,20220630,探路者,300005,运动服装,销售额,54
508,20200531,探路者,300005,运动服装,销售额,43
509,20201231,探路者,300005,运动服装,销售额,88
510,20210331,探路者,300005,运动服装,销售额,41
511,20200831,探路者,300005,运动服装,销售额,22
512,20201130,探路者,300005,运动服装,销售额,134
513,20220531,探路者,300005,运动服装,销售额,38
514,20200331,探路者,300005,运动服装,销售额,20
515,20221031,探路者,300005,运动服装,销售额,86
516,20220731,探路者,300005,运动服装,销售额,29
517,20210228,探路者,300005,运动服装,销售额,19
518,20210531,探路者,300005,运动服装,销售额,36
519,20220228,探路者,300005,运动服装,销售额,21
520,20200731,探路者,300005,运动服装,销售额,25
522,20210831,探路者,300005,运动服装,销售额,22
524,20200229,探路者,300005,运动服装,销售额,19
525,20210630,探路者,300005,运动服装,销售额,48
526,20210731,探路者,300005,运动服装,销售额,31
527,20211231,探路者,300005,运动服装,销售额,63
528,20200930,探路者,300005,运动服装,销售额,38
529,20220930,探路者,300005,运动服装,销售额,36
530,20220831,探路者,300005,运动服装,销售额,23
532,20210430,探路者,300005,运动服装,销售额,29
533,20220131,探路者,300005,运动服装,销售额,38
534,20211031,探路者,300005,运动服装,销售额,76
535,20201031,探路者,300005,运动服装,销售额,66
536,20220430,探路者,300005,运动服装,销售额,37
537,20200131,探路者,300005,运动服装,销售额,34
538,20221130,探路者,300005,运动服装,销售额,151
539,20221231,探路者,300005,运动服装,销售额,87
540,20230131,探路者,300005,运动服装,销售额,52
541,20230228,探路者,300005,运动服装,销售额,34
542,20230331,探路者,300005,运动服装,销售额,40
543,20230430,探路者,300005,运动服装,销售额,41
544,20230531,探路者,300005,运动服装,销售额,30
545,20230630,探路者,300005,运动服装,销售额,55
546,20230731,探路者,300005,运动服装,销售额,26
547,20230831,探路者,300005,运动服装,销售额,25
548,20230930,探路者,300005,运动服装,销售额,39
549,20230731,探路者,300005,运动服装,销售额,26
550,20201031,光威复材,300699,航空装备,销售额,34
551,20210831,光威复材,300699,航空装备,销售额,46
552,20200331,光威复材,300699,航空装备,销售额,28
553,20210331,光威复材,300699,航空装备,销售额,36
554,20221031,光威复材,300699,航空装备,销售额,49
555,20210430,光威复材,300699,航空装备,销售额,33
556,20200430,光威复材,300699,航空装备,销售额,33
557,20220228,光威复材,300699,航空装备,销售额,20
558,20220831,光威复材,300699,航空装备,销售额,47
559,20200831,光威复材,300699,航空装备,销售额,36
560,20201130,光威复材,300699,航空装备,销售额,48
561,20220531,光威复材,300699,航空装备,销售额,61
562,20200731,光威复材,300699,航空装备,销售额,37
563,20210228,光威复材,300699,航空装备,销售额,16
564,20220731,光威复材,300699,航空装备,销售额,54
